CATEGORY	TICKER	DATE	OPEN	CLOSE	PRE_MARKET	AFTER_HOURS	HIGH	LOW
Food	MCD	2020-05-14	170.2	175.41	172.82	175.65	175.66	167.85
Food	MDLZ	2020-05-14	49.76	49.52	49.5999	49.55	49.81	48.77
Food	PEP	2020-05-14	132.71	133.08	132.1	133.08	133.56	130.15
Food	MCD	2020-05-15	173.05	173.81	176.39	173.79	174.71	171.68
Food	MDLZ	2020-05-15	49.5	49.96	48.76	50.05	50.29	49.26
Food	PEP	2020-05-15	133.77	135.95	132.25	135.55	137.66	132.787
Food	MCD	2020-05-18	180.06	179.83	175.3	179.57	181.15	178.11
Food	MDLZ	2020-05-18	50.7361	50.97	50.49	51.15	51.44	49.71
Food	PEP	2020-05-18	136.85	135.52	136.6	135.52	137.99	135.06
Food	MCD	2020-05-19	180.12	179.57	179.5	179.56	181.46	178.07
Food	MDLZ	2020-05-19	51	49.89	51.15	49.9	51.29	49.85
Food	PEP	2020-05-19	134.43	131.73	135.24	132.15	134.76	131.4
Food	MCD	2020-05-20	182	184.1	181.4	184.2	184.6	180.57
Food	MDLZ	2020-05-20	50.04	49.75	49.89	49.85	50.305	49.65
Food	PEP	2020-05-20	132.54	131.26	133.02	131.69	132.6841	130.34
Food	MCD	2020-05-21	184.18	185.08	183.4	184.82	185.48	182.106
Food	MDLZ	2020-05-21	49.61	49.28	49.89	49.2382	49.91	49.11
Food	PEP	2020-05-21	130.98	130.21	131.9	130.4	131.44	129.61
Food	MCD	2020-05-22	184.48	184.41	183.79	184.65	185.35	183.18
Food	MDLZ	2020-05-22	49.03	49.7	49	49.8	49.75	48.975
Food	PEP	2020-05-22	129.61	130.48	129.5	130.41	130.63	129.17
Food	MCD	2020-05-26	189.59	184.84	188.74	185.39	190.66	184.24
Food	MDLZ	2020-05-26	50.16	49.59	49.98	49.8	50.48	49.38
Food	PEP	2020-05-26	131.94	129.75	132.1	129.9	132.05	129.4
Food	MCD	2020-05-27	188.74	187.72	187.44	188.26	188.75	185.27
Food	MDLZ	2020-05-27	49.77	50.35	49.7	50.3	50.46	49.41
Food	PEP	2020-05-27	129.72	130.81	130.5	130.81	130.84	128.58
Food	MCD	2020-05-28	189.42	188.73	188.47	188.8	190.48	186.72
Food	MDLZ	2020-05-28	50.83	51.41	50.58	51.58	51.52	50.26
Food	PEP	2020-05-28	131.21	132.29	131.29	132.61	132.73	130.11
Food	MCD	2020-05-29	187.43	186.32	187.17	187	188.7	185.7101
Food	MDLZ	2020-05-29	51.58	52.12	51.2	52.27	52.295	50.9
Food	PEP	2020-05-29	132.01	131.55	132.98	132.01	132.24	130.32
Food	MCD	2020-06-01	186.71	187.41	185.7	186	187.84	185.6
Food	MDLZ	2020-06-01	52.03	52.25	52.15	52.25	52.635	51.825
Food	PEP	2020-06-01	131.6	132.99	131.55	133.03	133.9461	131.19
Food	MCD	2020-06-02	188.4	187.59	187.5	188	188.56	186.085
Food	MDLZ	2020-06-02	52.15	52.22	52.15	51.6901	52.37	51.62
Food	PEP	2020-06-02	133.05	132.63	133.08	132.7	133.81	131.12
Food	MCD	2020-06-03	188.47	193.29	188.4	193.29	193.81	188.09
Food	MDLZ	2020-06-03	52.51	52.09	51.86	52	52.55	51.95
Food	PEP	2020-06-03	133.24	132.82	132.62	132.94	134.275	132.6
Food	MCD	2020-06-04	192.32	193.24	192.2	193.72	194.26	191.62
Food	MDLZ	2020-06-04	51.97	51.29	52.05	51.42	52.6	51.24
Food	PEP	2020-06-04	131.59	130.57	132.2	130.55	133.56	130.18
Food	MCD	2020-06-05	198	197.16	194.89	197.15	200.15	196.27
Food	MDLZ	2020-06-05	51.59	52.53	51.83	52.65	52.63	51.3
Food	PEP	2020-06-05	131	132.44	131.23	132.4	133.52	130.77
Food	MCD	2020-06-08	195.68	202.65	198	202	202.73	195.64
Food	MDLZ	2020-06-08	52.373	53.61	52.5	53.61	53.645	52.165
Food	PEP	2020-06-08	131.38	132.21	132.5	132	132.465	131.235
Food	MCD	2020-06-09	200.37	199.52	199.99	199.61	201.57	199.01
Food	MDLZ	2020-06-09	53.52	52.95	53.6	52.56	53.55	52.65
Food	PEP	2020-06-09	131.83	132.97	131.2	133.19	133.15	131.05
Food	MCD	2020-06-10	199.13	195.8	200	194.5	199.555	195.6699
Food	MDLZ	2020-06-10	52.98	53.11	52.95	53.11	53.54	52.69
Food	PEP	2020-06-10	133.28	134.13	133.05	134	135.16	133.17
Food	MCD	2020-06-11	190.9	187.51	194	188.5	192.91	186.33
Food	MDLZ	2020-06-11	52.61	50.53	52.65	50.77	52.76	50.49
Food	PEP	2020-06-11	134.22	127.84	133.16	129.5	135.14	127.46
Food	MCD	2020-06-12	191.67	189.17	190	189.01	191.67	185.45
Food	MDLZ	2020-06-12	51.5	50.73	51.39	50.73	51.63	50.25
Food	PEP	2020-06-12	129.15	129	129.5	129.25	129.93	127.43
Food	MCD	2020-06-15	184.6	189.49	185.6	190	190.1199	184.13
Food	MDLZ	2020-06-15	50.76	51.22	50.25	51.79	51.27	50.015
Food	PEP	2020-06-15	128.29	130.48	127.77	131.49	130.96	126.53
Food	MCD	2020-06-16	192	190.32	191.41	191.4	193.5	187.51
Food	MDLZ	2020-06-16	52.69	52.58	51.79	52.64	52.82	51.67
Food	PEP	2020-06-16	132.68	131.67	131.69	131.9	133.06	130.12
Food	MCD	2020-06-17	191.92	190.79	191.4	190	192.88	190.42
Food	MDLZ	2020-06-17	52.44	52.71	52.43	52.71	53.275	52.4
Food	PEP	2020-06-17	131.89	131.76	133.1228	131.76	133.04	131.49
Food	MCD	2020-06-18	190.01	189.49	191.75	190	190.74	187.89
Food	MDLZ	2020-06-18	52.37	53.09	52.41	53	53.15	52.37
Food	PEP	2020-06-18	131.42	132.78	132	132.63	133.13	130.63
Food	MCD	2020-06-19	192.29	186.56	190.5	186.25	192.3565	186.53
Food	MDLZ	2020-06-19	53.7	52.56	53.25	52	53.78	52.3993
Food	PEP	2020-06-19	134.41	131.28	133.5	131	134.82	131.22
Food	MCD	2020-06-22	186	187.46	186.8	188.5	187.77	184.89
Food	MDLZ	2020-06-22	52.3	52.35	52.45	52.35	52.605	51.91
Food	PEP	2020-06-22	130.55	131.05	131.27	131.27	131.76	129.95
Food	MCD	2020-06-23	189.55	186.62	188.65	186.31	189.73	186.32
Food	MDLZ	2020-06-23	52.6	51.92	52.6	52.18	52.6	51.825
Food	PEP	2020-06-23	131.62	131.36	131.5	131.06	132.68	130.98
Food	MCD	2020-06-24	184.96	184.29	185.26	184.38	185.71	181.34
Food	MDLZ	2020-06-24	51.61	50.64	51.57	50.64	51.61	50.3
Food	PEP	2020-06-24	130.52	129.56	130.53	129.7	131.07	128.68
Food	MCD	2020-06-25	183.51	182.76	183.64	183.8	184.08	180.325
Food	MDLZ	2020-06-25	50.58	50.83	50.54	51	50.96	50.07
Food	PEP	2020-06-25	129.14	131.41	129.31	131.41	131.73	128.05
Food	MCD	2020-06-26	182.37	179.74	183.03	179.62	182.81	178.88
Food	MDLZ	2020-06-26	50.71	50.08	50.75	50.08	51.16	49.92
Food	PEP	2020-06-26	131.68	128.93	131	129.05	132.37	128.06
Food	MCD	2020-06-29	180.57	182.8	180.85	183.25	182.83	179.17
Food	MDLZ	2020-06-29	50.44	50.58	50.39	50.67	50.72	50
Food	PEP	2020-06-29	130.18	131.08	129.49	131.29	131.4	129.43
Food	MCD	2020-06-30	182.92	184.47	182.8	184.45	185.2	181.89
Food	MDLZ	2020-06-30	50.7	51.13	50.47	51	51.225	50.54
Food	PEP	2020-06-30	131.83	132.26	131.14	132.26	132.82	130.855
Food	MCD	2020-07-01	184.95	184.66	183.5	183.3	186.44	183.72
Food	MDLZ	2020-07-01	51.06	51.08	50.95	51.08	51.33	50.885
Food	PEP	2020-07-01	132.53	132.36	132.53	132.68	133.62	131.94
Food	MCD	2020-07-02	187	183.52	185	183.98	187	182.86
Food	MDLZ	2020-07-02	51.17	51.49	51.38	51.5	52.05	51.17
Food	PEP	2020-07-02	133.54	132.85	133	133.26	134.17	132.54
Food	MCD	2020-07-06	186	188.5	185.99	188.87	188.72	184.14
Food	MDLZ	2020-07-06	51.72	51.62	52	51.62	52.08	51.2
Food	PEP	2020-07-06	133.08	133.3	134.2	133.39	133.95	132.31
Food	MCD	2020-07-07	187.37	185.82	187	186.1	187.85	185.25
Food	MDLZ	2020-07-07	51.36	51.5	51.36	51.4	51.74	51.29
Food	PEP	2020-07-07	132.27	133.57	133.385	133.99	134.62	132.17
