CATEGORY	DATE	TWEET
Crypto	2022-03-23	Current #Bitcoin Price is $42848 #BTC #Crypto
Crypto	2022-03-23	@MetaMatrixCoin It's a nice and amazing project, I can sense a lot of prospects behind this project.Thanks to brilliance team! @congrats_win @bestiebigwin @bigwin200 #matrixcoin #mc #matrixcoinmc #mctoken #matrixswap #btc
Crypto	2022-03-23	"@mcshane_writes @nayibbukele Those whom will struggle the most in the New Economy, will be those who try to drag their ""old money"" paradigms around with them.. #Crypto #bitcoin #btc #dogecoin #Ethereum"
Crypto	2022-03-23	@WhaleCartel @whalecartelNFT Congratulations on the release and for the successful team always @fadilah019 @Yaniarsil95 @gngr_kmrn #BTC #bitcoin #Crypto #NFT
Crypto	2022-03-23	I need your help...plz donate me... I am bankrupt.. my store is ruined last year January please help me.. I have $96000 debt...please donate me.... My Ethereum Wallet 0x7d1043572ec65cb665c7b2639e4b50b1557b8dc4 #dubai #uae #saudi #helpme #btc #bts #donate
Crypto	2022-03-23	@dergigi Game theory and network effects is a MF. See you all on the other side of clown world friendswhere we will dance under the orange sky #btc
Crypto	2022-03-23	"@CryptoMarkwill @BitcoinMagazine @nayibbukele Those whom will struggle the most in the New Economy, will be those who try to drag their ""old money"" paradigms around with them.. #Crypto #bitcoin #btc"
Crypto	2022-03-23	$1,776,588 BTCUSDT SHORTED @$43,000.00 on #Binance (23:57:38 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	$1,120,900 BTCUSD SHORTED @$42,991.3 on #Binance (23:57:35 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	BEARWHALE! just SHORTED $3,172,225 worth of #Bitcoin #BTC at $42,980 on #Binance Futures
Crypto	2022-03-23	Give a man a gun and he can rob the bank. Give a man a bank and he can rob the world #Hyperinflation #BTC #cryptocurrencies #Banks
Crypto	2022-03-23	$1,007,100 BTCUSD SHORTED @$43,014.4 on #Binance (23:57:39 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	@11MinutesNFT This will certainly be a successful project as it has a great team that is more than qualified and focused on making this project a success. #11MINUTES #BTC #CRYPTO
