	Category	Tweet	Score
0	Crypto	Plugins ideas: someone should make a web browser plugin to convert any fiat pricing into #Bitcoin For example: instead of this room is $50 a night, it should change it into 0.00119923 BTC/night	0
1	Crypto	@Valerstudios The project is very interesting and promises to be very promising! I also thank everyone involved in the development! I'm very happy to part of the project! #valerstudios #VLR #blockchain #cryptocurrency #technology #bitcoin #money #crypto #Binance #BNB #crypto	2
2	Crypto	US Congressman Ritchie Torres says #crypto has the power to make better, cheaper and faster payment system for many transactions. #Bitcoin #blockchaintechnology #fintechnews	1
3	Crypto	@ICOffender Our Adventure with the #Bitcoin is Just Beginning..m njoying it @ICOffender #yellow #yellownetwork #btc #Crypto	2
4	Crypto	@Sh4nkzZ @BayernBall @BITCOIN_OR_HFSP @DiegoribasB @TWregistalfc Salah, Benz , lewa, Vvd and Kimmich that's top 5 and he's not in it	-2
5	Crypto	Binance Shuts Down Ontario Users From Its Platform Will It Restrict Other Canadian Provinces? #dogecoin #bitcoin	-2
6	Crypto	@TheodrosKassa Now do Bitcoin	2
7	Crypto	@woonomic Bitcoin is the bubble that never pops. Follow this amazing @Orbitlaunchm31	2
8	Crypto	@AirdropDet This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions. @Khan2Milon @kamrul78666 @WithSumon #cryptocurrency #Airdrop #BSC #Bitcoin #ETH #EscaCrypto #ESCA #Airdropstario	2
9	Crypto	@kpvsmom You can go all in on #bitcoin. The assymetric demonstration.	2
10	Crypto	The vast majority of normal people are skeptical of bitcoin.	-1
11	Crypto	@c_hashreview @suhailsaqan Do I agree that Bitcoin is useful? Yes. I said it in the first tweet.	-2
12	Crypto	Even if you donate to the country or the Red Cross, it will not reach us. A small life dies in front of me almost every day. Please support me. #kief#Ukraine#Russia#war#STOPWAR#Bitcoin#Ethereum#STEPN#NFT #casino	-2
13	Crypto	@AirdropDet Looking very strong and intresting project Definitely it will get hug success in future.. Let's Join @saheb766 @ruhul00755 @firoj0056 #Airdrops #EliteCash #Bitcoin #AirdropDetective #cryptocurrecy	2
14	Crypto	@BitcoinMagazine Idea to rebalance your portfolio if market is down Glad I didn't miss out on the dip i made 80k #Bitcoin Buying early this month, This is Incredible earning profits with Mr RayMac prediction accuracy He's really the best get in touch with tag below to get started @MentorshipR	2
