iter	Passed	Remaining
0	0	167
1	1	172
2	2	177
3	3	150
4	3	130
5	3	118
6	3	108
7	4	101
8	4	96
9	4	91
10	5	87
11	5	83
12	5	80
13	5	78
14	6	76
15	6	74
16	6	73
17	7	71
18	7	70
19	7	68
20	7	67
21	8	66
22	8	65
23	8	64
24	9	63
25	9	62
26	9	61
27	9	60
28	10	59
29	10	59
30	11	62
31	12	64
32	13	66
33	13	67
34	14	69
35	15	69
36	15	69
37	16	69
38	17	71
39	17	71
40	18	70
41	18	69
42	18	68
43	19	67
44	19	66
45	19	66
46	19	65
47	20	64
48	20	63
49	20	62
50	21	61
51	21	60
52	21	59
53	21	59
54	22	58
55	22	57
56	22	56
57	22	56
58	23	55
59	23	54
60	23	54
61	24	53
62	24	52
63	24	52
64	24	51
65	25	51
66	29	59
67	30	59
68	30	58
69	31	58
70	31	58
71	32	57
72	32	56
73	33	56
74	33	55
75	33	54
76	33	54
77	34	53
78	34	52
79	34	52
80	34	51
81	35	50
82	35	50
83	35	49
84	36	48
85	36	48
86	36	47
87	37	47
88	37	46
89	37	46
90	38	45
91	38	45
92	38	44
93	39	43
94	39	43
95	39	43
96	41	43
97	41	43
98	42	43
99	42	42
100	43	42
101	43	42
102	44	41
103	44	41
104	44	40
105	45	40
106	46	40
107	46	39
108	46	39
109	47	38
110	47	38
111	47	37
112	48	36
113	48	36
114	48	35
115	48	35
116	49	34
117	49	34
118	49	33
119	49	33
120	50	32
121	50	32
122	50	31
123	50	31
124	51	30
125	51	30
126	51	29
127	52	29
128	52	28
129	52	28
130	52	27
131	53	27
132	53	26
133	53	26
134	53	25
135	54	25
136	54	25
137	55	24
138	55	24
139	55	23
140	56	23
141	57	23
142	57	23
143	58	22
144	59	22
145	59	22
146	60	21
147	60	21
148	61	21
149	62	20
150	62	20
151	62	19
152	63	19
153	63	18
154	63	18
155	64	18
156	64	17
157	64	17
158	64	16
159	65	16
160	65	15
161	65	15
162	65	14
163	66	14
164	66	14
165	66	13
166	67	13
167	67	12
168	67	12
169	67	11
170	68	11
171	68	11
172	68	10
173	68	10
174	69	9
175	69	9
176	70	9
177	70	8
178	70	8
179	71	7
180	72	7
181	72	7
182	73	6
183	73	6
184	74	6
185	74	5
186	74	5
187	75	4
188	75	4
189	76	4
190	76	3
191	77	3
192	77	2
193	77	2
194	78	2
195	78	1
196	78	1
197	79	0
198	79	0
199	79	0
